company,employees,trade,naics,authority,state,city,address,zip,penalty,citations,violation_types,issued,activity_nr,osha_url
FIDEL ANGEL ALVARADO,5,Concrete_Masonry,238140,Federal OSHA,TX,RICHMOND,2907 PUEBLO FALLS DRIVE,77406,10641.0,3,Serious,2026-07-07T00:00:00,348947060,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348947060
FIDEL ANGEL ALVARADO,5,Concrete_Masonry,238140,Federal OSHA,TX,RICHMOND,2907 PUEBLO FALLS DRIVE,77406,10640.0,7,Serious/Other,2026-07-07T00:00:00,348947003,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348947003
R&S MANUFACTURING LLC,13,Metal_Welding_Fabrication,332999,Federal OSHA,TX,HOUSTON,5695 SURREY SQUARE STREET,77017,7944.0,4,Serious/Other,2026-06-30T00:00:00,348665027,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348665027
"BLAZEY CONSTRUCTION SERVICES, LLC",30,Construction_General,237110,Federal OSHA,TX,ALVIN,305 LAKE LINE,77511,343797.0,3,Repeat/Other,2026-06-29T00:00:00,348677600,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348677600
"CSA CONSTRUCTION, INC.",20,Construction_General,237110,Federal OSHA,TX,MANVEL,7420 CORPORATE DRIVE,77578,25536.0,3,Serious/Other,2026-06-29T00:00:00,348663030,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348663030
"COASTAL ENVIRONMENTAL SOLUTIONS, INC",8,Waste_Environmental,562910,Federal OSHA,TX,HOUSTON,16335 PENINSULA STREET,77015,392501.0,7,Willful/Serious,2026-06-26T00:00:00,348736380,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348736380
"BWC TERMINALS, LLC",7,Other,424710,Federal OSHA,TX,HOUSTON,16335 PENINSULA STREET,77015,82750.0,6,Serious,2026-06-26T00:00:00,348670621,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348670621
UNICAT CATALYST TECHNOLOGIES LLC,29,Manufacturing_Industrial,333132,Federal OSHA,TX,ALVIN,5918 S HWY35,77511,29357.0,11,Serious/Other,2026-06-24T00:00:00,348664566,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348664566
BLACKBURN MACHINE & FAB LLC,6,Metal_Welding_Fabrication,332322,Federal OSHA,TX,HOUSTON,7525 WYNLEA STREET,77061,28908.0,8,Repeat/Serious,2026-06-24T00:00:00,348745829,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348745829
RODRIGO FLORES,1,Roofing,238160,Federal OSHA,TX,CYPRESS,11402 RUFFER TREE CT.,77433,5108.0,1,Repeat,2026-06-23T00:00:00,348853128,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348853128
RODRIGO FLORES,1,Roofing,238160,Federal OSHA,TX,KATY,1089 RIVER ROCK CIRCLE,77493,5107.0,1,Repeat,2026-06-23T00:00:00,348973587,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348973587
AYDN VILLALTA CONSTRUCTION LLC,9,Construction_General,238130,Federal OSHA,TX,KEMAH,2801 LAWRENCE RD,77565,6242.0,2,Serious,2026-06-22T00:00:00,348906066,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348906066
ERNESTO CRUZ,4,Construction_General,238130,Federal OSHA,TX,RICHMOND,2702 CRESTED CREEK LANE,77406,3761.0,3,Serious,2026-06-22T00:00:00,348946815,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348946815
MARTIN RIVERA,1,Construction_General,238130,Federal OSHA,TX,NEW WAVERLY,110 ROEBUCK LANE,77358,14895.0,3,Serious,2026-06-18T00:00:00,348817669,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348817669
"CSN, LLC",11,Other,517410,Federal OSHA,TX,HUMBLE,HOME DEPOT 20360 US-59 N,77338,6810.0,2,Serious/Other,2026-06-18T00:00:00,348806860,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348806860
"GULF COAST ERECTORS, INC.",43,Metal_Welding_Fabrication,238120,Federal OSHA,TX,HOUSTON,2990 CLINTON DR.,77020,9731.0,1,Serious,2026-06-15T00:00:00,348658931,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348658931
"RAVEN ENVIRONMENTAL SERVICES, INC.",17,Other,115310,Federal OSHA,TX,HOCKLEY,WARREN RANCH RD/COASTAL PRAIRIE,77447,11349.0,5,Serious/Other,2026-06-10T00:00:00,348709627,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348709627
JUAN GARZA,2,HVAC_Mechanical_Plumbing,238220,Federal OSHA,TX,CYPRESS,9210 OCEAN ONYX,77433,14186.0,3,Serious,2026-06-09T00:00:00,348786500,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348786500
JULIO'S BODY SHOP AND COLLISION REPAIR,4,Other,811121,Federal OSHA,TX,HOUSTON,3262 FRICK RD,77086,8086.0,3,Serious/Other,2026-06-09T00:00:00,348793506,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348793506
JC&G CONSTRUCTION LLC,4,Roofing,238160,Federal OSHA,TX,THE WOODLANDS,4775 W. PANTHER CREEK DR,77381,2838.0,1,Serious,2026-06-09T00:00:00,348919648,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348919648
"REDDICO CONSTRUCTION CO., INC.",13,Construction_General,237990,Federal OSHA,TX,ALVIN,780 HWY 35 N BYP,77511,42898.0,6,Serious/Other,2026-06-08T00:00:00,348726993,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348726993
KMNZ CONSTRUCTION LLC,2,Construction_General,238130,Federal OSHA,TX,KATY,3223 W. GRAND PKWY N.,77449,8512.0,3,Serious/Other,2026-06-05T00:00:00,348859679,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348859679
"STEFFANI METALS, INC.",44,Metal_Welding_Fabrication,332312,Federal OSHA,TX,HOUSTON,6811 SATSUMA DRIVE,77041,8340.0,1,Serious,2026-06-05T00:00:00,348745845,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348745845
ANGEL ROCHA,4,Roofing,238160,Federal OSHA,TX,CYPRESS,21515 DRUMMOND COVE,77433,3972.0,1,Serious,2026-06-05T00:00:00,348787037,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348787037
"MARTIN FEIN INTERESTS, LTD.",10,Other,531311,Federal OSHA,TX,SPRING,1600 SPRINGWOODS PLAZA DR. STAIR D ON 1ST FLOOR,77389,3940.0,1,Other,2026-06-05T00:00:00,348806084,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348806084
EVER JOSUE TROCHEZ,5,Roofing,238160,Federal OSHA,TX,CONROE,11300 IH 45 SOUTH,77304,2838.0,1,Serious,2026-06-05T00:00:00,348919978,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348919978
ALUMANATE LLC,38,Metal_Welding_Fabrication,331315,Federal OSHA,TX,HOUSTON,842 BUSCHONG STREET,77039,13902.0,2,Serious,2026-06-04T00:00:00,348686718,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348686718
"HTX PRODUCTS, LLC",13,Manufacturing_Industrial,339991,Federal OSHA,TX,HOUSTON,333 NORTHPARK CENTRAL DR SUITE A,77073,8512.0,2,Serious/Other,2026-06-03T00:00:00,348683293,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348683293
SERGIO CORTES,2,Roofing,238160,Federal OSHA,TX,WILLIS,11626 RUFFIAN DRIVE,77318,5676.0,2,Serious,2026-06-02T00:00:00,348917147,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348917147
"ARCHITECTURAL SURFACES GROUP, LLC",6,Other,423390,Federal OSHA,TX,BAYTOWN,4221 SOUTH FARM-TO-MARKET 565 ROAD,77523,80388.0,8,Serious/Other,2026-06-01T00:00:00,348626540,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348626540
"MICHAEL STEVENS INTERESTS, INC.",4,Other,531110,Federal OSHA,TX,ROSENBERG,1811 CITY HALL DR.,77471,1703.0,1,Serious,2026-05-29T00:00:00,348812561,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348812561
"CUTTEN LOGISTICS, LLC",18,Other,493110,Federal OSHA,TX,HOUSTON,12202 CUTTEN RD,77065,1703.0,2,Serious,2026-05-27T00:00:00,348876491,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348876491
JUAN CARLOS GARCIA,3,Construction_General,238170,Federal OSHA,TX,CYPRESS,20034 SUNSET SERENADE TRL,77433,5676.0,5,Other,2026-05-26T00:00:00,348838913,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348838913
ALEXANDER'S CONSTRUCTIONS AND RENTAL LLC,3,Construction_General,238310,Federal OSHA,TX,CYPRESS,21517 FM 529 RD.,77433,4965.0,1,Serious,2026-05-26T00:00:00,348786815,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348786815
DONALD CLAIBORNE,3,HVAC_Mechanical_Plumbing,238220,Federal OSHA,TX,HOUSTON,4303 HOWCHER STREET,77047,7448.0,3,Serious,2026-05-19T00:00:00,348615725,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348615725
"TDINDUSTRIES, INC.",22,HVAC_Mechanical_Plumbing,238220,Federal OSHA,TX,HOUSTON,17795 JOHN F KENNEDY BLVD.,77032,14470.0,4,Serious,2026-05-18T00:00:00,348640756,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348640756
LUCIANO ALVARADO,4,Construction_General,238170,Federal OSHA,TX,SPRING,5633 SPRING STUEBNER RD. BLDG. 3,77389,5676.0,2,Serious,2026-05-14T00:00:00,348806779,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348806779
"STEWART HOLDINGS GROUP, INC.",11,Construction_General,237110,Federal OSHA,TX,HOUSTON,17400 SATURN LN.,77058,6834.0,1,Other,2026-05-13T00:00:00,348736422,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348736422
JADE WELL PROPERTY SERVICES INC.,8,Roofing,238160,Federal OSHA,TX,TEXAS CITY,2310 FM 2004,77591,2298.0,5,Serious,2026-05-12T00:00:00,348771874,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348771874
"AAA CANVAS & AWNING CO., INC.",3,Manufacturing_Industrial,314910,Federal OSHA,TX,SPRING,5330 FM 2920,77388,5793.0,1,Serious,2026-05-11T00:00:00,348704818,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348704818
PEDRAZA A.C. LLC,1,HVAC_Mechanical_Plumbing,238220,Federal OSHA,TX,HOUSTON,13455 CUTTEN RD SUITE 1E,77069,4965.0,2,Serious,2026-05-08T00:00:00,348642349,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348642349
MIRANDA'S ROOFING LLC,2,Roofing,238160,Federal OSHA,TX,IOWA COLONY,11315 SOUTHWOOD,77583,12769.0,2,Repeat/Serious,2026-05-07T00:00:00,348737917,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348737917
"PATCO MACHINE & FAB., INC.",24,Metal_Welding_Fabrication,332710,Federal OSHA,TX,HOUSTON,2002 HUMBLE WESTFIELD ROAD,77073,1447.0,3,Serious,2026-05-07T00:00:00,348814658,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348814658
"BULLSEYE CONSTRUCTION, INC.",8,Construction_General,237110,Federal OSHA,TX,SPRING,22515 KUYKENDAHL ROAD,77389,23832.0,3,Serious,2026-04-30T00:00:00,348760042,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348760042
HOUSTON CENTERLESS GRINDING SERVICES LLC,27,Metal_Welding_Fabrication,332710,Federal OSHA,TX,HOUSTON,1102 HUB STREET,77023,23361.0,11,Serious,2026-04-30T00:00:00,348581315,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348581315
PRIME USED OIL LLC,1,Trucking_Hauling,484230,Federal OSHA,TX,HOUSTON,10729 CHICKADEE LN,77048,11916.0,3,Serious,2026-04-30T00:00:00,348592569,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348592569
"S. HOLCOMB ENTERPRISES, INC.",5,Oil_and_Gas,213112,Federal OSHA,TX,HOUSTON,10729 CHICKADEE LN,77048,7944.0,2,Serious,2026-04-30T00:00:00,348592593,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348592593
JOSE MIRELES,12,Construction_General,238130,Federal OSHA,TX,TEXAS CITY,14002 STARBOARD REACH DR.,77510,7037.0,3,Serious,2026-04-30T00:00:00,348839325,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348839325
GC ELECTRICAL SERVICES LLC,4,Electrical,238210,Federal OSHA,TX,SPRING,ADJACENT TO 21846 HOLZWARTH RD.,77388,3972.0,2,Serious/Other,2026-04-30T00:00:00,348698507,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348698507
ANTONIO GAYOSO SANTANA,3,Construction_General,238310,Federal OSHA,TX,RICHMOND,1135 NAUTICAL LN.,77469,1702.0,1,Serious,2026-04-30T00:00:00,348618299,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348618299
"INNOVEX INTERNATIONAL, INC.",26,Manufacturing_Industrial,333132,Federal OSHA,TX,HOUSTON,2201 N. SAM HOUSTON PARKWAY W.,77066,22698.0,4,Serious/Other,2026-04-29T00:00:00,348642729,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348642729
DIAMOND READY MIX,40,Concrete_Masonry,327320,Federal OSHA,TX,HOUSTON,6824 ROMONA BLVD,77086,20000.0,5,Serious,2026-04-29T00:00:00,348578659,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348578659
VERA INDUSTRIES LLC,4,Construction_General,237110,Federal OSHA,TX,SHENANDOAH,30.20333 N/95.45508 W,77385,17874.0,2,Repeat/Serious,2026-04-28T00:00:00,348688995,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348688995
VERA'S UNDERGROUND UTILITIES INC,4,Construction_General,237110,Federal OSHA,TX,WALLER,22100 FM 362,77484,10895.0,2,Repeat/Serious,2026-04-28T00:00:00,348749730,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348749730
CRITTER ONE OF HOUSTON,5,Other,561710,Federal OSHA,TX,HOUSTON,6500 RODRIGO ST UNIT B,77007,9930.0,3,Serious,2026-04-28T00:00:00,348587502,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348587502
"TEXAS GULF COAST BUILDING SERVICES, LLC",5,Roofing,238160,Federal OSHA,TX,SPRING,21426 SPRING WEST DR.,77388,3065.0,4,Serious,2026-04-28T00:00:00,348698846,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348698846
JOSE MIRELES,12,Construction_General,238130,Federal OSHA,TX,TEXAS CITY,"14008 STARBOARD REACH DR.,",77510,8171.0,3,Serious,2026-04-23T00:00:00,348838921,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348838921
JOSE MIRELES,12,Construction_General,238130,Federal OSHA,TX,TEXAS CITY,14004 STARBOARD REACH DR.,77510,8171.0,3,Serious,2026-04-23T00:00:00,348839143,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348839143
"MICKIE SERVICE COMPANY, INC.",2,Construction_General,237110,Federal OSHA,TX,SPRING,5330 FM 2920,77388,7945.0,3,Serious/Other,2026-04-23T00:00:00,348689175,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348689175
"WATER DISTRICT MANAGEMENT CO., INC.",4,Other,221310,Federal OSHA,TX,SPRING,5330 FM 2920,77388,3973.0,1,Serious,2026-04-23T00:00:00,348689217,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348689217
ARNOLD'S METAL FINISHING OF TEXAS INC.,10,Metal_Welding_Fabrication,332710,Federal OSHA,TX,TOMBALL,520 CHESTNUT BUSINESS PARK DRIVE,77375,11826.0,7,Serious/Other,2026-04-22T00:00:00,348665969,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348665969
"TUFFTOP RV ROOF, LLC",7,Other,811111,Federal OSHA,TX,WILLIS,17742 N HIGHWAY 75,77318,5789.0,6,Serious,2026-04-22T00:00:00,348632001,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348632001
SHIELD TECH ROOFING LLC,2,Roofing,238160,Federal OSHA,TX,TODD MISSION,2138 MULLER LANE,77363,7094.0,3,Serious/Other,2026-04-21T00:00:00,348837733,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348837733
BERNARDO TRUJILLO CASTRO,2,Roofing,238160,Federal OSHA,TX,CYPRESS,20035 SUNSET SERENADE TRL,77433,20428.0,3,Repeat/Serious,2026-04-17T00:00:00,348837667,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348837667
RM REMODELING SOLUTIONS,2,Concrete_Masonry,238140,Federal OSHA,TX,HOUSTON,511 FM 1960 E,77073,2838.0,1,Serious,2026-04-16T00:00:00,348814468,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348814468
JOVANI ALONSO,4,Roofing,238160,Federal OSHA,TX,KATY,7002 QUAKER MEADOWS DR.,77493,24685.0,3,Repeat/Serious,2026-04-13T00:00:00,348794793,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348794793
ALEXANDER'S CONSTRUCTIONS AND RENTAL LLC,3,Construction_General,238310,Federal OSHA,TX,CYPRESS,21517 FM 529,77433,4965.0,2,Serious/Other,2026-04-13T00:00:00,348773763,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348773763
"CRYSTAL CREEK DEVELOPERS, LLC",8,Construction_General,236220,Federal OSHA,TX,RICHMOND,3231 HARVEST BOUNTY DRIVE,77406,3618.0,2,Serious,2026-04-13T00:00:00,348836339,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348836339
"BARRIGA ENTERPRISES, INC.",3,Roofing,238160,Federal OSHA,TX,RICHMOND,3231 HARVEST BOUNTY DRIVE,77406,3473.0,2,Serious,2026-04-13T00:00:00,348836347,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348836347
FELIX RUIS,2,Construction_General,238990,Federal OSHA,TX,RICHMOND,3231 HARVEST BOUNTY DRIVE,77406,2270.0,1,Serious,2026-04-13T00:00:00,348836362,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348836362
H.P.M. SHEET METAL LLC,1,Metal_Welding_Fabrication,238120,Federal OSHA,TX,KATY,6930 KATY GASTON ROAD,77494,1809.0,1,Serious,2026-04-13T00:00:00,348836222,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348836222
MZ ROOFING & SHEETMETAL LLC,5,Metal_Welding_Fabrication,238120,Federal OSHA,TX,KATY,6930 KATY GASTON ROAD,77494,1447.0,1,Serious,2026-04-13T00:00:00,348836248,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348836248
SAMUEL SON & CO,49,Other,423510,Federal OSHA,TX,HOUSTON,5022 ASHLEY COURT,77041,40000.0,1,Repeat,2026-04-10T00:00:00,348700915,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348700915
SAMUEL SON & CO,47,Other,423510,Federal OSHA,TX,HOUSTON,5022 ASHLEY COURT,77041,5000.0,1,Other,2026-04-10T00:00:00,348702077,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348702077
HTX CONTRACTOR GROUP INC,2,Construction_General,238130,Federal OSHA,TX,PORTER,"30�08'18.5""N 95�17'26.8""W",77365,3547.0,1,Serious,2026-04-08T00:00:00,348773490,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348773490
COLLINS ROOFING INC.,5,Roofing,238160,Federal OSHA,TX,HUMBLE,5970 NORTH SAM HOUSTON PARKWAY EAST (INCIDENT ADDRESS) 15100 LEE RD. (CONTRACTED ADDRESS),77396,10427.0,1,Other,2026-04-07T00:00:00,348800327,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348800327
LUCIANO ALVARADO,2,Construction_General,238130,Federal OSHA,TX,SPRING,5633 SPRING STUBNER ROAD,77388,2838.0,1,Serious,2026-04-03T00:00:00,348694332,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348694332
"A & L BUILDING SOLUTIONS, INC.",5,HVAC_Mechanical_Plumbing,238220,Federal OSHA,TX,HOUSTON,1319 TEXAS AVE.,77002,15888.0,4,Serious,2026-04-02T00:00:00,348539222,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348539222
ELIAS CANTU GARCIA,3,Roofing,238160,Federal OSHA,TX,CYPRESS,19902 JADE JUNCTION WAY,77433,5676.0,2,Serious,2026-03-30T00:00:00,348761867,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348761867
"DIXIE FOUNDATION DRILLING CO, INC.",30,Excavation_Demolition,238910,Federal OSHA,TX,HOUSTON,5401 KILLOUGH STREET,77086,28137.0,6,Serious/Other,2026-03-26T00:00:00,348562844,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348562844
ARNALDO PORTILLO-ALFARO,17,Roofing,238160,Federal OSHA,TX,SPRING,24011 RICHARDS RD. BLDG. 1 & 2,77386,7944.0,3,Serious/Other,2026-03-25T00:00:00,348677303,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348677303
"AD DISPLAY SIGN SYSTEMS, INC.",4,Construction_General,238990,Federal OSHA,TX,SPRING,21115 KUYKENDAHL RD.,77379,3973.0,2,Serious,2026-03-25T00:00:00,348678368,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348678368
"HMC INSTRUMENT & MACHINE WORKS, LTD.",23,Metal_Welding_Fabrication,332710,Federal OSHA,TX,HOUSTON,2325 BLALOCK ROAD,77080,2894.0,2,Serious,2026-03-25T00:00:00,348767591,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348767591
VALOY GARCIA,4,Construction_General,238350,Federal OSHA,TX,LEAGUE CITY,6930 MINERAL WELLS WAY,77574,7378.0,3,Serious,2026-03-24T00:00:00,348787995,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348787995
JUAN ADULFO ARREGATA,8,Concrete_Masonry,238140,Federal OSHA,TX,ROSHARON,25151 SH 288,77583,2412.0,3,Serious,2026-03-24T00:00:00,348790239,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348790239
JUAN ADULFO ARREGATA,8,Concrete_Masonry,238140,Federal OSHA,TX,ROSHARON,25151 SH 288,77583,2270.0,4,Serious/Other,2026-03-24T00:00:00,348790262,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348790262
"SONNY STEEL ERECTOR'S, INC.",5,Construction_General,238190,Federal OSHA,TX,ROSHARON,25151 SH 288,77583,19863.0,1,Repeat,2026-03-23T00:00:00,348790270,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348790270
"JTM CONSTRUCTION, LLC",10,Construction_General,237110,Federal OSHA,TX,MANVEL,7212 LARGE AVE,77578,6620.0,4,Serious,2026-03-23T00:00:00,348790155,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348790155
CRAIN GROUP LLC,2,Construction_General,236220,Federal OSHA,TX,MANVEL,7212 LARGE AVE,77578,271.0,1,Other,2026-03-19T00:00:00,348790015,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348790015
HENRY JALAL RIVERA,5,Construction_General,238130,Federal OSHA,TX,LEAGUE CITY,906 HILLTOP VIEW LANE,77574,6242.0,2,Serious,2026-03-17T00:00:00,348790445,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348790445
GEORGE'S AUTO SALES & SERVICES,3,Other,811111,Federal OSHA,TX,HOUSTON,2432 KELLY LANE,77066,5676.0,2,Serious,2026-03-17T00:00:00,348581042,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348581042
"RIDGELINE CONTRACTORS, INC.",3,Roofing,238160,Federal OSHA,TX,CONROE,323 PARLIN,77303,130539.0,5,Repeat/Other,2026-03-12T00:00:00,348512138,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348512138
GSF PLASTICS CORPORATION,21,Manufacturing_Industrial,326199,Federal OSHA,TX,HOUSTON,12035 PROCTER STREET,77038,7094.0,1,Repeat,2026-03-12T00:00:00,348729328,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348729328
"NANKANI & SONS, INC.",4,Other,561790,Federal OSHA,TX,CONROE,10221 PRAIRIE CREEK LANE,77384,23170.0,5,Serious,2026-03-06T00:00:00,348493941,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348493941
CARLOS MANUEL MEJIA GALDANEZ,4,Construction_General,238130,Federal OSHA,TX,HOUSTON,5821 WINSOME LANE,77057,14190.0,5,Serious/Other,2026-03-02T00:00:00,348686924,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348686924
LANDA BROS CONSTRUCTION LLC,4,Construction_General,238130,Federal OSHA,TX,HOUSTON,5821 WINSOME LANE,77057,3972.0,1,Serious,2026-03-02T00:00:00,348686908,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348686908
MOSES LEON,4,Construction_General,238130,Federal OSHA,TX,IOWA COLONY,11319 SOUTHWOOD,77583,2838.0,1,Serious,2026-03-02T00:00:00,348737941,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348737941
"BUFFALO SPECIALTIES, INC.",35,Other,541890,Federal OSHA,TX,HOUSTON,10502 FALLSTONE ROAD,77099,3641.0,2,Serious/Other,2026-02-26T00:00:00,348613472,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348613472
